Rt. No.,Source,Destination,Zone,Outbound,Inbound,Route Description
1,Karen,Dagoretti,Outer South,5.7,5.5,Karen Centre to Dagoretti Market via the Hub and AIU
2/2B,Town,Dagoretti Mkt,Ngong Rd,17.3,17.6,Railways to Dagoretti Market via Dagoretti Junction and Kikuyu Road
2C,Town,Waithaka,Ngong Rd,14.1,14.4,CBD to Waithaka Centre via Dagoretti Junction and Muthama (possible extension to Mutuini)
3,Dagoretti Junction,Uthiru,Outer West,5.9,5.9,Dagoretti Junction to Uthiru via Naivasha Road
4,Town,Madiwa,Juja Rd,4.8,5.7,Luthuli Avenue to Madiwa via Pumwani Hospital and Eastleigh Section III
4C,Town,Kabiria,Ngong Rd,12.9,12.3,"Ambassadeur to Kabiria via Ngong Road, Dagoretti Junction, Riruta and Kinyanjui Road"
4W,Town,Kabiria,Ngong Rd,13,12.7,"Ambassadeur to Kabiria via Ngong Road, Dagoretti Junction, Wanyee Road, Riruta and Kinyanjui Road"
5,Town,Jamhuri,Ngong Rd,8.4,8.2,"Kencom to Jamhuri via Valley Road, Nairobi Hospital, Prestige Plaza and Woodley"
6E,Eastleigh,Pipeline,Jogoo-Outering,7.2,7.4,"Eastleigh to Pipeline via Rikana, Likoni Road, Lunga Lunga and Donholm"
7,Town,Gikomba,Jogoo-Outering,2.2,2.9,"Luthuli Avenue to Gikomba via California, Majengo and Pumwani"
7B,Town,Upper Hill,Ngong Rd,5.2,3.9,"Kencom to KNH via Bunyala Road, Old NTSA, KASNEB and Upper Hill"
7C,Town,Upper Hill,Ngong Rd,6.4,3.9,"Kencom to KNH via Community, TSC, KASNEB and Upper Hill"
8,Town,Kibera,Ngong Rd,7.9,7.5,"Railways to Olympic via Ngong Road upto Uchumi, Kibera Law Courts and Makina"
8B,Muthurwa,Kariobangi,Jogoo-Outering,7.6,8.6,"Muthurwa Market to Kariobangi Roundabout via Makadara Law Courts, Kimathi, Mesora and Outering"
9/6,Town,Eastleigh,Juja Rd,4.1,4.9,"CBD to Eastleigh via Kariokor, Pumwani Maternity, KBS and Garissa"
9/12,Eastleigh,South C,Outer East,9.9,10.2,"Eastleigh to South C Shopping Centre via Likoni Road, Ole Sereni and Bellevue"
10,Town,Maringo,Jogoo-Outering,5.7,5.9,"Archives to Maringo via Landhies Road, City Stadium and Mbotela"
11,Town,Highridge,Limuru Rd,4.8,5.3,"Khoja to Highridge via Ngara, Limuru Road, Aga Khan Hospital and 3rd Parklands Avenue"
11B,Town,Hazina,Mombasa Rd,7.2,7.3,"Bus Station to Hazina via Bunyala Road, Mater Hospital, South B, Railways Training Centre and Diamond Park Ph 1"
11C,Town,Pangani,Juja Rd,5.3,3.7,"Odeon to Pangani via KICD, Guru Nanak and Pangani Girls"
11D,Town,Stima Plaza,Limuru Rd,2,2.4,Odeon to Stima Plaza via Ngara
11F,Town,General Mathenge,Waiyaki Way,5.5,5.3,"Odeon to General Mathenge Avenue via Ojijo Road, MP Shah and Sarit Centre"
12C,Town,South C,Mombasa Rd,8.8,4.3,"Bus Station to South C via Mombasa Road, Bellevue, Boma Hotel, Akiba and Akiba"
12D,Town,KPA,Mombasa Rd,8,7.5,"Bus Station to Highway Estate via Nextgen, Bellevue and KPA"
14,Town,Nairobi West,Langata Rd,5,4.9,"Bus Station to Moi Education Centre via Nyayo Stadium, Nairobi West, Old Uchumi and Civil Servants"
14A,Town,Madaraka,Langata Rd,5.1,4.3,"Bus Station to Texas Cancer Centre via Nyayo Stadium, Madaraka, Strathmore and Ufunguo Estate"
14/28,Town,Kariobangi,Juja Rd,10.4,11.5,"OTC to Kariobangi North via Juja Road, Huruma, Kiamaiko and Riverside (Alternate route via Thika Road and Allsopps)"
15,Town,Otiende,Langata Rd,12.2,12.7,"Bus Station to St Mary's Hospital via Langata Road, Ngei, Southlands, Uhuru Gardens, Onyonka and Otiende"
15/34,Langata,KNH,Outer South,11.3,10.1,KNH to St Mary's Hospital via Mbagathi Way and Langata
16,Town,Highrise,Langata Rd,6.8,6.7,"Bus Station to Soweto via Nyayo Stadium, Mbagathi Way, Riara University and Nyayo Highrise"
17A,Eastleigh,Kayole,Outer East,11.2,11.3,"Eastleigh to Kayole via Kariobangi Roundabout, Kangundo Road and Komarock"
17B,Town,Mwiki,Thika Rd,16.8,16.8,"CBD to Mwiki via Thika Road, Roysambu, TRM and Kasarani"
18C,Eastleigh,Komarock,Juja Rd,11.2,11.1,"Eastleigh to Komarock via Kariobangi Roundabout, Dandora Junction and Saika"
18/62,Eastleigh,Kamulu,Juja Rd,26,26,"Eastleigh to Kamulu via Kariobangi Roundabout, Komarock Road, Kangundo Road and Ruai"
19C,Town,Komarock,Jogoo-Outering,14.4,13.9,"Ambassadeur to Komarock via Jogoo Road, Manyanja Road and Bee Centre"
19C/34B,Town,Komarock,Jogoo-Outering,14.5,15.5,"Ambassadeur to Komarock via Jogoo Road, Donholm, Savannah, Greenspan Mall, Jacaranda and Bee Centre"
19/60,Town,Kayole,Jogoo-Outering,12.9,13.8,"OTC to Kayole DC via Jogoo Road, Manyanja Road, Spine Road, Masimba, Kayole Central and Kona Mbaya"
20,Roysambu,Mama Lucy,Outer East,14.7,14.8,"Roysambu to Mama Lucy Hospital via Kasarani, Mwiki, Njiru, Kayole and Bee Centre"
22,Town,Uthiru,Waiyaki Way,15,15.8,"Odeon to Ndumbu-ini via Waiyaki Way, Uthiru and UoN Upper Kabete"
23,Town,Civil Servants,Jogoo-Outering,10.2,10.2,"Afya Centre to Civil Servants via Muthurwa, Bahati, Kimathi, Uhuru, Buru Buru Ph.1, Outering and Kariobangi South"
